model_name,temperature,seed,item_id,phenomenon,prompt,paraphrase
EleutherAI/pythia-12b,0.1,0,1,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
He disliked the talk that his boss gave but does not want to criticize his boss. --"," He dislikes the talk that his boss gave but does not want to criticize his boss.

A:

I think you are looking for the following:

He dislikes the talk that his boss gave but does not want to criticize his boss.

This is the same as:
"
EleutherAI/pythia-12b,0.1,0,1,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
He is excited about the upcoming trip to Japan and does not want to talk about anything else. --"," He is excited about the upcoming trip to Japan and does not want to talk about anything else.

A:

I think you're looking for:

He is excited about the upcoming trip to Japan and does not want to talk about anything else.

or

He is excited about the upcoming"
EleutherAI/pythia-12b,0.1,0,1,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
He liked the talk that his boss gave but does not want to tell him about it. --"," He liked the talk that his boss gave but does not want to tell him about it.

A:

I think you are looking for the following:

paraphrase

to express (something) in a different way.

Example:

Alex thinks that Richard's painting is medi"
EleutherAI/pythia-12b,0.1,0,1,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
He wants to avoid going to Japan next week and wants to discuss it with his boss.  --"," He wants to avoid going to Japan next week and wants to discuss it with his boss.

A:

I think you are looking for the following:

He wants to avoid going to Japan next week and wants to discuss it with his boss.

A:

I think you are looking"
EleutherAI/pythia-12b,0.1,0,2,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
Alex thinks that Richard's painting is mediocre. --"," Alex found Richard's artwork okay.

A:

I think you are looking for the verb ""to find"" or ""to think"" in the following contexts:

Alex thinks that Richard's painting is mediocre.
Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in"
EleutherAI/pythia-12b,0.1,0,2,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
 Alex is proud of the painting job that he did. --"," Alex is proud of the painting job that he did.

A:

I think you are looking for the verb to be.

Alex thinks that Richard's painting is mediocre.

This is a passive construction.

Alex found Richard's artwork okay.

This is an active construction"
EleutherAI/pythia-12b,0.1,0,2,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
Alex wants Richards to help him paint the walls. --"," Alex wants Richards to help him paint the walls.

A:

I think the best way to phrase this is:

Alex thinks that Richard's painting is mediocre.

This is a statement of fact, not a question.

Alex found Richard's artwork okay.

This is"
EleutherAI/pythia-12b,0.1,0,2,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
Alex is afraid that Richard will become a better painter than he is.  --"," Alex is afraid that Richard will become a better painter than he is.

A:

I would say that the first example is not a paraphrase of the second. The first is a statement of fact, the second is a statement of opinion.

Alex thinks that Richard's painting is mediocre"
EleutherAI/pythia-12b,0.1,0,3,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
She does not want to discuss the topic that Leslie has raised. --"," She does not want to discuss the topic that Leslie has raised.

A:

The sentences are fine.

Alex thinks that Richard's painting is mediocre.

This is a statement of fact.

Mary wants Ken to serve her tea in a cup.

This is a request"
EleutherAI/pythia-12b,0.1,0,3,maxims,"Please paraphrase the sentence.

Example:

Alex thinks that Richard's painting is mediocre. -- Alex found Richard's artwork okay.
Mary wants Ken to serve her tea in a cup. -- Mary her tea to be served by Ken in a cup.
Freddie is ready to give money to Berta without any questions. -- He is willing to lend money to Berta without hesitation.
Bianka tries to make Lenny angry with her. -- Bianka is attempting to make Lenny mad.
She thinks that it is the best latte in the town. --"," She thinks that it is the best latte in the town.

A:

I think you are looking for the following:

She thinks that it is the best latte in the town.

This is a simple sentence.

She thinks that it is the best latte in the"
