model_name,temperature,seed,item_id,task,prompt,prior_prompt,question_number,question,item,item_type,correct1,correct2,correct3,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,A,Yes,No,No,A,"tensor([-5.8480, -0.0342])","[tensor(0.0029), tensor(0.9664)]",tensor([-8.3492]),"tensor([-7.4881, -3.9116])","[tensor(0.0006), tensor(0.0200)]",0.00278865,0.4846469461917877,1.1198877e-05,249.0116,-5.8821974,-2.941098690032959,0.5159959
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,B,No,Yes,Yes,B,"tensor([-5.8480, -5.7529])","[tensor(0.0029), tensor(0.0032)]",tensor([-9.4039]),"tensor([-7.4881, -0.5288])","[tensor(0.0006), tensor(0.5893)]",9.157407e-06,0.003029542975127697,0.00032984605,0.027762668,-11.600947,-5.800473690032959,1.4470643
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,A,Yes,No,No,A,"tensor([-4.9124, -3.2076])","[tensor(0.0074), tensor(0.0405)]",tensor([-8.3492]),"tensor([-7.4881, -3.9116])","[tensor(0.0006), tensor(0.0200)]",0.0002975252,0.023904014378786087,1.1198877e-05,26.567415,-8.120012,-4.060006141662598,0.7123007
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,B,No,Yes,Yes,B,"tensor([-4.9124, -0.0592])","[tensor(0.0074), tensor(0.9425)]",tensor([-9.4039]),"tensor([-7.4881, -0.5288])","[tensor(0.0006), tensor(0.5893)]",0.006932226,0.47495007514953613,0.00032984605,21.01655,-4.9715743,-2.4857871532440186,0.62013793
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,A,Less than 50 percent,Less than 50 percent,Less than 50 percent,A,"tensor([-7.3927, -0.4856])","[tensor(0.0006), tensor(0.6153)]",tensor([-8.3492]),"tensor([-5.1798, -0.9294])","[tensor(0.0056), tensor(0.3948)]",0.0003788992,0.3079783320426941,0.0022222637,0.17050146,-7.8782406,-3.939120292663574,1.2895638
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,B,More than 50 percent,More than 50 percent,More than 50 percent,B,"tensor([-7.3927, -2.0793])","[tensor(0.0006), tensor(0.1250)]",tensor([-9.4039]),"tensor([-5.1798, -3.7810])","[tensor(0.0056), tensor(0.0228)]",7.697802e-05,0.06281491369009018,0.00012834463,0.59977597,-9.471991,-4.735995292663574,1.0570484
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,A,Yes,No,No,A,"tensor([-6.6947, -0.1792])","[tensor(0.0012), tensor(0.8359)]",tensor([-8.3492]),"tensor([-6.6155, -4.2272])","[tensor(0.0013), tensor(0.0146)]",0.0010344234,0.4185872972011566,1.9546993e-05,52.91982,-6.873911,-3.436955451965332,0.63396734
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,B,No,Yes,Yes,B,"tensor([-6.6947, -3.8433])","[tensor(0.0012), tensor(0.0214)]",tensor([-9.4039]),"tensor([-6.6155, -0.3365])","[tensor(0.0013), tensor(0.7142)]",2.6510394e-05,0.011330496519804,0.0009566584,0.027711453,-10.537973,-5.268986701965332,1.515805
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,A,Yes,Yes,Yes,A,"tensor([-4.4268, -0.0510])","[tensor(0.0120), tensor(0.9502)]",tensor([-8.3492]),"tensor([-6.1668, -0.7554])","[tensor(0.0021), tensor(0.4698)]",0.011357536,0.48109543323516846,0.0009856278,11.5231495,-4.477874,-2.2389369010925293,0.64688295
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,B,No,No,No,B,"tensor([-4.4268, -6.5198])","[tensor(0.0120), tensor(0.0015)]",tensor([-9.4039]),"tensor([-6.1668, -3.5367])","[tensor(0.0021), tensor(0.0291)]",1.7617394e-05,0.0067131370306015015,6.107048e-05,0.28847644,-10.946624,-5.473311901092529,1.128113
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the tickets have won.,Critical,Full,Yes,Yes,Under50,A,Less than 50 percent,More than 50 percent,More than 50 percent,A,"tensor([-7.3595, -1.8084])","[tensor(0.0006), tensor(0.1639)]",tensor([-8.3492]),"tensor([-3.9478, -0.7910])","[tensor(0.0193), tensor(0.4534)]",0.000104338666,0.08227923512458801,0.008749704,0.011924823,-9.167869,-4.583934307098389,1.9346657
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the tickets have won.,Critical,Full,Yes,Yes,Under50,B,More than 50 percent,Less than 50 percent,Less than 50 percent,B,"tensor([-7.3595, -0.2927])","[tensor(0.0006), tensor(0.7462)]",tensor([-9.4039]),"tensor([-3.9478, -4.1894])","[tensor(0.0193), tensor(0.0152)]",0.00047497725,0.3734263479709625,0.00029246285,1.6240602,-7.6522436,-3.8261218070983887,0.9404057
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did John look at all of today's computers?,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-5.0024, -0.7800])","[tensor(0.0067), tensor(0.4584)]",tensor([-8.3492]),"tensor([-5.6310, -0.4378])","[tensor(0.0036), tensor(0.6455)]",0.0030812856,0.2325637936592102,0.0023138945,1.3316449,-5.782408,-2.8912041187286377,0.9528055
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did John look at all of today's computers?,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-5.0024, -0.7488])","[tensor(0.0067), tensor(0.4730)]",tensor([-9.4039]),"tensor([-5.6310, -5.4144])","[tensor(0.0036), tensor(0.0045)]",0.0031790962,0.23983947932720184,1.5960622e-05,199.18372,-5.751158,-2.8755791187286377,0.52068424
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did John say that some of today's computers have viruses? ,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-3.7549, -0.0232])","[tensor(0.0234), tensor(0.9771)]",tensor([-8.3492]),"tensor([-5.6310, -0.4378])","[tensor(0.0036), tensor(0.6455)]",0.022865364,0.50022953748703,0.0023138945,9.881766,-3.778132,-1.8890659809112549,0.6225477
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did John say that some of today's computers have viruses? ,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-3.7549, -6.9998])","[tensor(0.0234), tensor(0.0009)]",tensor([-9.4039]),"tensor([-5.6310, -5.4144])","[tensor(0.0036), tensor(0.0045)]",2.1344968e-05,0.012157188728451729,1.5960622e-05,1.3373518,-10.754694,-5.377346992492676,0.9736821
