phenomenon,shuffled_option_names,value,model_name,metric_formula
deceits,target,0.8419786096256690,human,sentence_cond_probs
deceits,incorrect_literal,0.11657754010695200,human,sentence_cond_probs
deceits,incorrect_lexical_overlap,0.02085561497326200,human,sentence_cond_probs
deceits,incorrect_social_convention,0.02058823529411760,human,sentence_cond_probs
humour,associative_nonsequitur,0.034545454545454500,human,sentence_cond_probs
humour,target,0.8468449197860960,human,sentence_cond_probs
humour,funny_nonsequitur,0.03465240641711230,human,sentence_cond_probs
humour,incorrect_straightforward,0.07048128342245990,human,sentence_cond_probs
humour,neutral_nonsequitur,0.013475935828877000,human,sentence_cond_probs
indirect_speech,target,0.8859625668449200,human,sentence_cond_probs
indirect_speech,distractor_associative,0.00120320855614972,human,sentence_cond_probs
indirect_speech,distractor_lexical_overlap,0.0036096256684491800,human,sentence_cond_probs
indirect_speech,competitor,0.10922459893048100,human,sentence_cond_probs
irony,target,0.9194652406417110,human,sentence_cond_probs
irony,distractor_associate,0.018395721925133700,human,sentence_cond_probs
irony,competitor,0.056577540106951800,human,sentence_cond_probs
irony,dstractor_nonsequitur,0.005561497326203190,human,sentence_cond_probs
maxims,target,0.8080495356037150,human,sentence_cond_probs
maxims,incorrect_associate,0.04531381930762730,human,sentence_cond_probs
maxims,incorrect_literal,0.11229946524064200,human,sentence_cond_probs
maxims,incorrect_nonliteral,0.03433717984801570,human,sentence_cond_probs
metaphor,target,0.8967914438502670,human,sentence_cond_probs
metaphor,distractor_literal,0.03783422459893050,human,sentence_cond_probs
metaphor,competitor,0.02366310160427810,human,sentence_cond_probs
metaphor,distractor_nonsequitut,0.01189839572192510,human,sentence_cond_probs
metaphor,distractor_plausibleliteral,0.029812834224598900,human,sentence_cond_probs
deceits,target,0.8419786096256690,human,mean_sentence_cond_probs
deceits,incorrect_literal,0.11657754010695200,human,mean_sentence_cond_probs
deceits,incorrect_lexical_overlap,0.02085561497326200,human,mean_sentence_cond_probs
deceits,incorrect_social_convention,0.02058823529411760,human,mean_sentence_cond_probs
humour,associative_nonsequitur,0.034545454545454500,human,mean_sentence_cond_probs
humour,target,0.8468449197860960,human,mean_sentence_cond_probs
humour,funny_nonsequitur,0.03465240641711230,human,mean_sentence_cond_probs
humour,incorrect_straightforward,0.07048128342245990,human,mean_sentence_cond_probs
humour,neutral_nonsequitur,0.013475935828877000,human,mean_sentence_cond_probs
indirect_speech,target,0.8859625668449200,human,mean_sentence_cond_probs
indirect_speech,distractor_associative,0.00120320855614972,human,mean_sentence_cond_probs
indirect_speech,distractor_lexical_overlap,0.0036096256684491800,human,mean_sentence_cond_probs
indirect_speech,competitor,0.10922459893048100,human,mean_sentence_cond_probs
irony,target,0.9194652406417110,human,mean_sentence_cond_probs
irony,distractor_associate,0.018395721925133700,human,mean_sentence_cond_probs
irony,competitor,0.056577540106951800,human,mean_sentence_cond_probs
irony,dstractor_nonsequitur,0.005561497326203190,human,mean_sentence_cond_probs
maxims,target,0.8080495356037150,human,mean_sentence_cond_probs
maxims,incorrect_associate,0.04531381930762730,human,mean_sentence_cond_probs
maxims,incorrect_literal,0.11229946524064200,human,mean_sentence_cond_probs
maxims,incorrect_nonliteral,0.03433717984801570,human,mean_sentence_cond_probs
metaphor,target,0.8967914438502670,human,mean_sentence_cond_probs
metaphor,distractor_literal,0.03783422459893050,human,mean_sentence_cond_probs
metaphor,competitor,0.02366310160427810,human,mean_sentence_cond_probs
metaphor,distractor_nonsequitut,0.01189839572192510,human,mean_sentence_cond_probs
deceits,target,0.8419786096256690,human,sentence_mi
deceits,incorrect_literal,0.11657754010695200,human,sentence_mi
deceits,incorrect_lexical_overlap,0.02085561497326200,human,sentence_mi
deceits,incorrect_social_convention,0.02058823529411760,human,sentence_mi
humour,associative_nonsequitur,0.034545454545454500,human,sentence_mi
humour,target,0.8468449197860960,human,sentence_mi
humour,funny_nonsequitur,0.03465240641711230,human,sentence_mi
humour,incorrect_straightforward,0.07048128342245990,human,sentence_mi
humour,neutral_nonsequitur,0.013475935828877000,human,sentence_mi
indirect_speech,target,0.8859625668449200,human,sentence_mi
indirect_speech,distractor_associative,0.00120320855614972,human,sentence_mi
indirect_speech,distractor_lexical_overlap,0.0036096256684491800,human,sentence_mi
indirect_speech,competitor,0.10922459893048100,human,sentence_mi
irony,target,0.9194652406417110,human,sentence_mi
irony,distractor_associate,0.018395721925133700,human,sentence_mi
irony,competitor,0.056577540106951800,human,sentence_mi
irony,dstractor_nonsequitur,0.005561497326203190,human,sentence_mi
maxims,target,0.8080495356037150,human,sentence_mi
maxims,incorrect_associate,0.04531381930762730,human,sentence_mi
maxims,incorrect_literal,0.11229946524064200,human,sentence_mi
maxims,incorrect_nonliteral,0.03433717984801570,human,sentence_mi
metaphor,target,0.8967914438502670,human,sentence_mi
metaphor,distractor_literal,0.03783422459893050,human,sentence_mi
metaphor,competitor,0.02366310160427810,human,sentence_mi
metaphor,distractor_nonsequitut,0.01189839572192510,human,sentence_mi
deceits,target,0.8419786096256690,human,sentence_surprisal
deceits,incorrect_literal,0.11657754010695200,human,sentence_surprisal
deceits,incorrect_lexical_overlap,0.02085561497326200,human,sentence_surprisal
deceits,incorrect_social_convention,0.02058823529411760,human,sentence_surprisal
humour,associative_nonsequitur,0.034545454545454500,human,sentence_surprisal
humour,target,0.8468449197860960,human,sentence_surprisal
humour,funny_nonsequitur,0.03465240641711230,human,sentence_surprisal
humour,incorrect_straightforward,0.07048128342245990,human,sentence_surprisal
humour,neutral_nonsequitur,0.013475935828877000,human,sentence_surprisal
indirect_speech,target,0.8859625668449200,human,sentence_surprisal
indirect_speech,distractor_associative,0.00120320855614972,human,sentence_surprisal
indirect_speech,distractor_lexical_overlap,0.0036096256684491800,human,sentence_surprisal
