metric_formula,model_name,seed,item_id,phenomenon,metric,label_type,target,distractor_prob
mean_sentence_cond_probs,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.45360715634980564,0.5463928436501944
mean_sentence_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.5267415981923691,0.4732584018076309
sentence_cond_probs,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.45360715634980564,0.5463928436501944
sentence_mi,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.47566300077185447,0.5243369992281455
sentence_mi_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.5176843234772639,0.4823156765227361
sentence_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_alpha,0.5267415981923691,0.4732584018076309
mean_sentence_cond_probs,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.5197058715359099,0.48029412846409014
mean_sentence_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.48387851264400755,0.5161214873559925
sentence_cond_probs,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.5197058715359099,0.48029412846409014
sentence_mi,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.4227042965629773,0.5772957034370227
sentence_mi_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.5244872147127438,0.47551278528725616
sentence_surprisal,google/flan-t5-xl,0,1,coherence,label_score,label_numeric,0.48387851264400755,0.5161214873559925
mean_sentence_cond_probs,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.4868955827111493,0.5131044172888507
mean_sentence_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.5059873806123287,0.49401261938767127
sentence_cond_probs,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.4868955827111493,0.5131044172888507
sentence_mi,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.509062013020806,0.490937986979194
sentence_mi_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.49691226937755734,0.5030877306224426
sentence_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_alpha,0.5059873806123287,0.49401261938767127
mean_sentence_cond_probs,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.6455303811933012,0.3544696188066988
mean_sentence_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.4451571445211327,0.5548428554788674
sentence_cond_probs,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.6455303811933012,0.3544696188066988
sentence_mi,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.5520367818398468,0.44796321816015316
sentence_mi_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.48557350907586594,0.5144264909241341
sentence_surprisal,google/flan-t5-xl,0,2,coherence,label_score,label_numeric,0.4451571445211327,0.5548428554788674
mean_sentence_cond_probs,google/flan-t5-xl,0,3,coherence,label_score,label_alpha,0.44373877263941036,0.5562612273605896
mean_sentence_surprisal,google/flan-t5-xl,0,3,coherence,label_score,label_alpha,0.5293989175706605,0.4706010824293395
