model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
text-davinci-002,0.9,metaphor,greedy,,1,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?


Your answer:
","
Mary means that the town is dirty and smelly.",target
text-davinci-002,0.9,metaphor,greedy,,1,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?


Your answer:
","
Mike is trying to say that their baby is going to be small and delicate.",competitor
text-davinci-002,0.9,metaphor,greedy,,1,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?


Your answer:
","
Bob means that the investors are saving up for the future.",target
text-davinci-002,0.9,metaphor,greedy,,1,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?


Your answer:","
The mom is trying to say that the girlfriend is not genuine or real.",target
text-davinci-002,0.9,metaphor,greedy,,1,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 


Your answer:
","
Mary's husband is likely to be a workaholic who is always busy and rarely has time for their children. She is saying that their children are sweet and squishy, just like taffy, and that they are being neglected.",distractor_plausibleliteral
text-davinci-002,0.9,metaphor,greedy,,1,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?


Your answer:
","
Mark means that the lady's jewelry is very sparkly and pretty.",target
text-davinci-002,0.9,metaphor,greedy,,1,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 


Your answer:
","
Ben is trying to say that the model was the most noticeable and memorable person at the fashion show.",target
text-davinci-002,0.9,metaphor,greedy,,1,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?


Your answer:
","
Mary meant that the queen is related to the nation.",target
text-davinci-002,0.9,metaphor,greedy,,1,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?


Your answer:
","
Abby means that the sunset is romantic and is setting the mood for the couple.",target
text-davinci-002,0.9,metaphor,greedy,,1,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?


Your answer:
","
When Jessica's mom said that ""Jessica sailed towards the finish,"" she was most likely trying to say that Jessica did a great job on her talk.",target
