response_option,phenomenon,model_name,item_id,seed,metric
0,humour,meta-llama/Llama-2-7b-hf,1,3,free
0,humour,meta-llama/Llama-2-7b-hf,2,3,free
0,humour,meta-llama/Llama-2-7b-hf,3,3,free
0,humour,meta-llama/Llama-2-7b-hf,4,3,free
0,humour,meta-llama/Llama-2-7b-hf,5,3,free
0,humour,meta-llama/Llama-2-7b-hf,6,3,free
0,humour,meta-llama/Llama-2-7b-hf,7,3,free
0,humour,meta-llama/Llama-2-7b-hf,8,3,free
0,humour,meta-llama/Llama-2-7b-hf,9,3,free
0,humour,meta-llama/Llama-2-7b-hf,10,3,free
0,humour,meta-llama/Llama-2-7b-hf,11,3,free
0,humour,meta-llama/Llama-2-7b-hf,12,3,free
0,humour,meta-llama/Llama-2-7b-hf,13,3,free
0,humour,meta-llama/Llama-2-7b-hf,14,3,free
0,humour,meta-llama/Llama-2-7b-hf,15,3,free
0,humour,meta-llama/Llama-2-7b-hf,16,3,free
0,humour,meta-llama/Llama-2-7b-hf,17,3,free
0,humour,meta-llama/Llama-2-7b-hf,18,3,free
0,humour,meta-llama/Llama-2-7b-hf,19,3,free
0,humour,meta-llama/Llama-2-7b-hf,20,3,free
0,humour,meta-llama/Llama-2-7b-hf,21,3,free
0,humour,meta-llama/Llama-2-7b-hf,22,3,free
0,humour,meta-llama/Llama-2-7b-hf,23,3,free
0,humour,meta-llama/Llama-2-7b-hf,24,3,free
0,humour,meta-llama/Llama-2-7b-hf,25,3,free
1,maxims,meta-llama/Llama-2-7b-hf,1,3,free
0,maxims,meta-llama/Llama-2-7b-hf,2,3,free
0,maxims,meta-llama/Llama-2-7b-hf,3,3,free
0,maxims,meta-llama/Llama-2-7b-hf,4,3,free
0,maxims,meta-llama/Llama-2-7b-hf,5,3,free
0,maxims,meta-llama/Llama-2-7b-hf,6,3,free
0,maxims,meta-llama/Llama-2-7b-hf,7,3,free
0,maxims,meta-llama/Llama-2-7b-hf,8,3,free
0,maxims,meta-llama/Llama-2-7b-hf,9,3,free
0,maxims,meta-llama/Llama-2-7b-hf,10,3,free
0,maxims,meta-llama/Llama-2-7b-hf,11,3,free
0,maxims,meta-llama/Llama-2-7b-hf,12,3,free
0,maxims,meta-llama/Llama-2-7b-hf,13,3,free
0,maxims,meta-llama/Llama-2-7b-hf,14,3,free
0,maxims,meta-llama/Llama-2-7b-hf,15,3,free
0,maxims,meta-llama/Llama-2-7b-hf,16,3,free
0,maxims,meta-llama/Llama-2-7b-hf,17,3,free
0,maxims,meta-llama/Llama-2-7b-hf,18,3,free
0,maxims,meta-llama/Llama-2-7b-hf,19,3,free
0,deceits,meta-llama/Llama-2-7b-hf,1,3,free
0,deceits,meta-llama/Llama-2-7b-hf,2,3,free
0,deceits,meta-llama/Llama-2-7b-hf,3,3,free
0,deceits,meta-llama/Llama-2-7b-hf,4,3,free
0,deceits,meta-llama/Llama-2-7b-hf,5,3,free
0,deceits,meta-llama/Llama-2-7b-hf,6,3,free
0,deceits,meta-llama/Llama-2-7b-hf,7,3,free
0,deceits,meta-llama/Llama-2-7b-hf,8,3,free
0,deceits,meta-llama/Llama-2-7b-hf,9,3,free
0,deceits,meta-llama/Llama-2-7b-hf,10,3,free
1,deceits,meta-llama/Llama-2-7b-hf,11,3,free
0,deceits,meta-llama/Llama-2-7b-hf,12,3,free
1,deceits,meta-llama/Llama-2-7b-hf,13,3,free
0,deceits,meta-llama/Llama-2-7b-hf,14,3,free
0,deceits,meta-llama/Llama-2-7b-hf,15,3,free
0,deceits,meta-llama/Llama-2-7b-hf,16,3,free
0,deceits,meta-llama/Llama-2-7b-hf,17,3,free
0,deceits,meta-llama/Llama-2-7b-hf,18,3,free
0,deceits,meta-llama/Llama-2-7b-hf,19,3,free
0,deceits,meta-llama/Llama-2-7b-hf,20,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,1,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,2,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,3,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,4,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,5,3,free
0,indirect_speech,meta-llama/Llama-2-7b-hf,6,3,free
