chosen_option,phenomenon,model_name,item_id,seed,metric
0,deceits,meta-llama/Llama-2-7b-hf,1,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,1,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,1,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,1,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,2,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,2,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,2,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,2,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,3,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,3,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,3,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,3,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,4,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,4,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,4,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,4,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,5,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,5,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,5,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,5,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,6,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,6,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,6,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,6,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,7,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,7,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,7,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,7,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,8,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,8,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,8,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,8,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,9,0,rating
0,deceits,meta-llama/Llama-2-7b-hf,9,0,rating
