model_name,phenomenon,metric,dependent_variable
google/flan-t5-xl,coherence,label_score,0.865
google/flan-t5-xl,deceits,label_score,0.21
google/flan-t5-xl,humour,label_score,0.328
google/flan-t5-xl,indirect_speech,label_score,0.67
google/flan-t5-xl,irony,label_score,0.32
google/flan-t5-xl,maxims,label_score,0.2631578947368421
google/flan-t5-xl,metaphor,label_score,0.66
gpt-3.5-turbo-instruct,coherence,label_score,0.64
gpt-3.5-turbo-instruct,deceits,label_score,0.43
gpt-3.5-turbo-instruct,humour,label_score,0.344
gpt-3.5-turbo-instruct,indirect_speech,label_score,0.63
gpt-3.5-turbo-instruct,irony,label_score,0.552
gpt-3.5-turbo-instruct,maxims,label_score,0.3473684210526316
gpt-3.5-turbo-instruct,metaphor,label_score,0.61
meta-llama/Llama-2-7b-hf,coherence,label_score,0.52
meta-llama/Llama-2-7b-hf,deceits,label_score,0.25
meta-llama/Llama-2-7b-hf,humour,label_score,0.256
meta-llama/Llama-2-7b-hf,indirect_speech,label_score,0.25
meta-llama/Llama-2-7b-hf,irony,label_score,0.328
meta-llama/Llama-2-7b-hf,maxims,label_score,0.2421052631578947
meta-llama/Llama-2-7b-hf,metaphor,label_score,0.25
text-davinci-002,coherence,label_score,0.595
text-davinci-002,deceits,label_score,0.74
text-davinci-002,humour,label_score,0.456
text-davinci-002,indirect_speech,label_score,0.89
text-davinci-002,irony,label_score,0.6
text-davinci-002,maxims,label_score,0.6631578947368421
text-davinci-002,metaphor,label_score,0.74
google/flan-t5-xl,coherence,free,0.8
gpt-3.5-turbo-instruct,coherence,free,0.78
meta-llama/Llama-2-7b-hf,coherence,free,0.2875
text-davinci-002,coherence,free,0.605
google/flan-t5-xl,deceits,free,0.4
gpt-3.5-turbo-instruct,deceits,free,0.8
meta-llama/Llama-2-7b-hf,deceits,free,0.0833333333333333
text-davinci-002,deceits,free,0.66
google/flan-t5-xl,humour,free,0.04
gpt-3.5-turbo-instruct,humour,free,0.424
text-davinci-002,humour,free,0.32
google/flan-t5-xl,indirect_speech,free,0.55
