model_name,metric_formula,phenomenon,metric,dependent_variable
google/flan-t5-xl,mean_sentence_cond_probs,coherence,string_score,0.55
google/flan-t5-xl,mean_sentence_cond_probs,deceits,string_score,0.2
google/flan-t5-xl,mean_sentence_cond_probs,humour,string_score,0.24
google/flan-t5-xl,mean_sentence_cond_probs,indirect_speech,string_score,0.45
google/flan-t5-xl,mean_sentence_cond_probs,irony,string_score,0.2
google/flan-t5-xl,mean_sentence_cond_probs,maxims,string_score,0.15789473684210525
google/flan-t5-xl,mean_sentence_cond_probs,metaphor,string_score,0.25
google/flan-t5-xl,mean_sentence_surprisal,coherence,string_score,0.55
google/flan-t5-xl,mean_sentence_surprisal,deceits,string_score,0.2
google/flan-t5-xl,mean_sentence_surprisal,humour,string_score,0.12
google/flan-t5-xl,mean_sentence_surprisal,indirect_speech,string_score,0.45
google/flan-t5-xl,mean_sentence_surprisal,irony,string_score,0.32
google/flan-t5-xl,mean_sentence_surprisal,maxims,string_score,0.42105263157894735
google/flan-t5-xl,mean_sentence_surprisal,metaphor,string_score,0.4
google/flan-t5-xl,sentence_cond_probs,coherence,string_score,0.55
google/flan-t5-xl,sentence_cond_probs,deceits,string_score,0.15
google/flan-t5-xl,sentence_cond_probs,humour,string_score,0.2
google/flan-t5-xl,sentence_cond_probs,indirect_speech,string_score,0.45
google/flan-t5-xl,sentence_cond_probs,irony,string_score,0.2
google/flan-t5-xl,sentence_cond_probs,maxims,string_score,0.3157894736842105
google/flan-t5-xl,sentence_cond_probs,metaphor,string_score,0.3
google/flan-t5-xl,sentence_mi,coherence,string_score,0.775
google/flan-t5-xl,sentence_mi,deceits,string_score,0.3
google/flan-t5-xl,sentence_mi,humour,string_score,0.32
google/flan-t5-xl,sentence_mi,indirect_speech,string_score,0.6
google/flan-t5-xl,sentence_mi,irony,string_score,0.28
google/flan-t5-xl,sentence_mi,maxims,string_score,0.42105263157894735
google/flan-t5-xl,sentence_mi,metaphor,string_score,0.25
google/flan-t5-xl,sentence_mi_surprisal,coherence,string_score,0.775
google/flan-t5-xl,sentence_mi_surprisal,deceits,string_score,0.3
google/flan-t5-xl,sentence_mi_surprisal,humour,string_score,0.32
google/flan-t5-xl,sentence_mi_surprisal,indirect_speech,string_score,0.6
google/flan-t5-xl,sentence_mi_surprisal,irony,string_score,0.28
google/flan-t5-xl,sentence_mi_surprisal,maxims,string_score,0.42105263157894735
google/flan-t5-xl,sentence_mi_surprisal,metaphor,string_score,0.25
google/flan-t5-xl,sentence_surprisal,coherence,string_score,0.55
google/flan-t5-xl,sentence_surprisal,deceits,string_score,0.15
google/flan-t5-xl,sentence_surprisal,humour,string_score,0.2
google/flan-t5-xl,sentence_surprisal,indirect_speech,string_score,0.45
google/flan-t5-xl,sentence_surprisal,irony,string_score,0.2
google/flan-t5-xl,sentence_surprisal,maxims,string_score,0.3157894736842105
google/flan-t5-xl,sentence_surprisal,metaphor,string_score,0.3
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,coherence,string_score,0.5
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,deceits,string_score,0.9
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,humour,string_score,0.64
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,indirect_speech,string_score,0.55
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,irony,string_score,0.48
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,maxims,string_score,0.3157894736842105
gpt-3.5-turbo-instruct,mean_sentence_cond_probs,metaphor,string_score,0.5
gpt-3.5-turbo-instruct,mean_sentence_surprisal,coherence,string_score,0.75
gpt-3.5-turbo-instruct,mean_sentence_surprisal,deceits,string_score,0.8
gpt-3.5-turbo-instruct,mean_sentence_surprisal,humour,string_score,0.68
gpt-3.5-turbo-instruct,mean_sentence_surprisal,indirect_speech,string_score,0.7
gpt-3.5-turbo-instruct,mean_sentence_surprisal,irony,string_score,0.72
gpt-3.5-turbo-instruct,mean_sentence_surprisal,maxims,string_score,0.42105263157894735
gpt-3.5-turbo-instruct,mean_sentence_surprisal,metaphor,string_score,0.4
gpt-3.5-turbo-instruct,sentence_cond_probs,coherence,string_score,0.725
gpt-3.5-turbo-instruct,sentence_cond_probs,deceits,string_score,0.6
gpt-3.5-turbo-instruct,sentence_cond_probs,humour,string_score,0.52
gpt-3.5-turbo-instruct,sentence_cond_probs,indirect_speech,string_score,0.85
gpt-3.5-turbo-instruct,sentence_cond_probs,irony,string_score,0.68
gpt-3.5-turbo-instruct,sentence_cond_probs,maxims,string_score,0.47368421052631576
gpt-3.5-turbo-instruct,sentence_cond_probs,metaphor,string_score,0.45
gpt-3.5-turbo-instruct,sentence_mi,coherence,string_score,0.8
gpt-3.5-turbo-instruct,sentence_mi,deceits,string_score,0.6
gpt-3.5-turbo-instruct,sentence_mi,humour,string_score,0.64
gpt-3.5-turbo-instruct,sentence_mi,indirect_speech,string_score,0.65
gpt-3.5-turbo-instruct,sentence_mi,irony,string_score,0.56
gpt-3.5-turbo-instruct,sentence_mi,maxims,string_score,0.2631578947368421
gpt-3.5-turbo-instruct,sentence_mi,metaphor,string_score,0.25
gpt-3.5-turbo-instruct,sentence_mi_surprisal,coherence,string_score,0.8
