model_name,item_id,seed,phenomenon,metric,dependent_variable
google/flan-t5-xl,1.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,1.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,1.0,0.0,humour,label_score,0.0
google/flan-t5-xl,1.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,1.0,0.0,irony,label_score,0.0
google/flan-t5-xl,1.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,1.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,2.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,2.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,2.0,0.0,humour,label_score,0.0
google/flan-t5-xl,2.0,0.0,indirect_speech,label_score,0.0
google/flan-t5-xl,2.0,0.0,irony,label_score,1.0
google/flan-t5-xl,2.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,2.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,3.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,3.0,0.0,deceits,label_score,1.0
google/flan-t5-xl,3.0,0.0,humour,label_score,0.0
google/flan-t5-xl,3.0,0.0,indirect_speech,label_score,0.0
google/flan-t5-xl,3.0,0.0,irony,label_score,0.0
google/flan-t5-xl,3.0,0.0,maxims,label_score,1.0
google/flan-t5-xl,3.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,4.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,4.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,4.0,0.0,humour,label_score,0.0
google/flan-t5-xl,4.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,4.0,0.0,irony,label_score,0.0
google/flan-t5-xl,4.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,4.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,5.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,5.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,5.0,0.0,humour,label_score,1.0
google/flan-t5-xl,5.0,0.0,indirect_speech,label_score,0.0
google/flan-t5-xl,5.0,0.0,irony,label_score,0.0
google/flan-t5-xl,5.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,5.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,6.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,6.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,6.0,0.0,humour,label_score,0.0
google/flan-t5-xl,6.0,0.0,indirect_speech,label_score,0.0
google/flan-t5-xl,6.0,0.0,irony,label_score,0.0
google/flan-t5-xl,6.0,0.0,maxims,label_score,1.0
google/flan-t5-xl,6.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,7.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,7.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,7.0,0.0,humour,label_score,1.0
google/flan-t5-xl,7.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,7.0,0.0,irony,label_score,0.0
google/flan-t5-xl,7.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,7.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,8.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,8.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,8.0,0.0,humour,label_score,1.0
google/flan-t5-xl,8.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,8.0,0.0,irony,label_score,0.0
google/flan-t5-xl,8.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,8.0,0.0,metaphor,label_score,0.0
google/flan-t5-xl,9.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,9.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,9.0,0.0,humour,label_score,0.0
google/flan-t5-xl,9.0,0.0,indirect_speech,label_score,0.0
google/flan-t5-xl,9.0,0.0,irony,label_score,0.0
google/flan-t5-xl,9.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,9.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,10.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,10.0,0.0,deceits,label_score,1.0
google/flan-t5-xl,10.0,0.0,humour,label_score,0.0
google/flan-t5-xl,10.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,10.0,0.0,irony,label_score,0.0
google/flan-t5-xl,10.0,0.0,maxims,label_score,1.0
google/flan-t5-xl,10.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,11.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,11.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,11.0,0.0,humour,label_score,0.0
google/flan-t5-xl,11.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,11.0,0.0,irony,label_score,0.0
google/flan-t5-xl,11.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,11.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,12.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,12.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,12.0,0.0,humour,label_score,0.0
google/flan-t5-xl,12.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,12.0,0.0,irony,label_score,1.0
google/flan-t5-xl,12.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,12.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,13.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,13.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,13.0,0.0,humour,label_score,0.0
google/flan-t5-xl,13.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,13.0,0.0,irony,label_score,0.0
google/flan-t5-xl,13.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,13.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,14.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,14.0,0.0,deceits,label_score,1.0
google/flan-t5-xl,14.0,0.0,humour,label_score,0.0
google/flan-t5-xl,14.0,0.0,indirect_speech,label_score,1.0
google/flan-t5-xl,14.0,0.0,irony,label_score,1.0
google/flan-t5-xl,14.0,0.0,maxims,label_score,0.0
google/flan-t5-xl,14.0,0.0,metaphor,label_score,1.0
google/flan-t5-xl,15.0,0.0,coherence,label_score,1.0
google/flan-t5-xl,15.0,0.0,deceits,label_score,0.0
google/flan-t5-xl,15.0,0.0,humour,label_score,1.0
