metric_formula,model_name,item_id,phenomenon,metric,dependent_variable
mean_sentence_surprisal,google/flan-t5-xl,1,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,2,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,3,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,4,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,5,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,6,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,7,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,8,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,9,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,10,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,11,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,12,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,13,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,14,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,15,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,16,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,17,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,18,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,19,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,20,coherence,string_score,0
mean_sentence_surprisal,google/flan-t5-xl,21,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,22,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,23,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,24,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,25,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,26,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,27,coherence,string_score,1
mean_sentence_surprisal,google/flan-t5-xl,28,coherence,string_score,1
