model_name,item_id,phenomenon,metric,dependent_variable,metric_formula
text-embedding-ada-002,1,humour,embedding_similarity,0,cosine
text-embedding-ada-002,2,humour,embedding_similarity,0,cosine
text-embedding-ada-002,3,humour,embedding_similarity,0,cosine
text-embedding-ada-002,4,humour,embedding_similarity,0,cosine
text-embedding-ada-002,5,humour,embedding_similarity,0,cosine
text-embedding-ada-002,6,humour,embedding_similarity,0,cosine
text-embedding-ada-002,7,humour,embedding_similarity,0,cosine
text-embedding-ada-002,8,humour,embedding_similarity,0,cosine
text-embedding-ada-002,9,humour,embedding_similarity,0,cosine
text-embedding-ada-002,10,humour,embedding_similarity,0,cosine
text-embedding-ada-002,11,humour,embedding_similarity,1,cosine
text-embedding-ada-002,12,humour,embedding_similarity,1,cosine
text-embedding-ada-002,13,humour,embedding_similarity,0,cosine
text-embedding-ada-002,14,humour,embedding_similarity,1,cosine
text-embedding-ada-002,15,humour,embedding_similarity,0,cosine
text-embedding-ada-002,16,humour,embedding_similarity,1,cosine
text-embedding-ada-002,17,humour,embedding_similarity,1,cosine
text-embedding-ada-002,18,humour,embedding_similarity,1,cosine
text-embedding-ada-002,19,humour,embedding_similarity,0,cosine
text-embedding-ada-002,20,humour,embedding_similarity,0,cosine
text-embedding-ada-002,21,humour,embedding_similarity,0,cosine
text-embedding-ada-002,22,humour,embedding_similarity,0,cosine
text-embedding-ada-002,23,humour,embedding_similarity,1,cosine
text-embedding-ada-002,24,humour,embedding_similarity,0,cosine
text-embedding-ada-002,25,humour,embedding_similarity,0,cosine
text-embedding-ada-002,1,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,2,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,3,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,4,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,5,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,6,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,7,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,8,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,9,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,10,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,11,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,12,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,13,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,14,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,15,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,16,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,17,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,18,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,19,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,20,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,21,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,22,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,23,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,24,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,25,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,26,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,27,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,28,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,29,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,30,coherence,embedding_similarity,1,cosine
text-embedding-ada-002,31,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,32,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,33,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,34,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,35,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,36,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,37,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,38,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,39,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,40,coherence,embedding_similarity,0,cosine
text-embedding-ada-002,1,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,2,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,3,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,4,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,5,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,6,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,7,metaphor,embedding_similarity,0,cosine
text-embedding-ada-002,8,metaphor,embedding_similarity,0,cosine
