model_name,phenomenon,metric,accuracy
text-davinci-002,IndirectSpeech,String score,0.05
Flan-T5 (XL),Metaphor,String score,0.1
InstructGPT-3.5,Metaphor,String score,0.1
Flan-T5 (XL),Irony,String score,0.12
InstructGPT-3.5,Humor,String score,0.12
Flan-T5 (XL),Deceits,String score,0.15
Llama-2 (7B),IndirectSpeech,String score,0.15
Llama-2 (7B),Metaphor,String score,0.15
InstructGPT-3.5,Irony,String score,0.16
text-davinci-002,Humor,String score,0.16
Flan-T5 (XL),Humor,String score,0.2
Flan-T5 (XL),IndirectSpeech,String score,0.2
InstructGPT-3.5,IndirectSpeech,String score,0.2
text-davinci-002,Deceits,String score,0.2
text-davinci-002,Metaphor,String score,0.2
Llama-2 (7B),Maxims,String score,0.2105263157894736
Llama-2 (7B),Humor,String score,0.24
Llama-2 (7B),Irony,String score,0.24
Llama-2 (7B),Deceits,String score,0.25
InstructGPT-3.5,Deceits,String score,0.3
text-davinci-002,Irony,String score,0.36
Flan-T5 (XL),Maxims,String score,0.3684210526315789
InstructGPT-3.5,Maxims,String score,0.3684210526315789
text-davinci-002,Maxims,String score,0.4736842105263157
Llama-2 (7B),Coherence,String score,0.475
Flan-T5 (XL),Coherence,String score,0.525
text-davinci-002,Coherence,String score,0.55
InstructGPT-3.5,Coherence,String score,0.625
Flan-T5 (XL),IndirectSpeech,Rating,0.0
Llama-2 (7B),Deceits,Rating,0.0
Flan-T5 (XL),Deceits,Rating,0.05
Flan-T5 (XL),Maxims,Rating,0.1052631578947368
Llama-2 (7B),IndirectSpeech,Rating,0.15
Llama-2 (7B),Metaphor,Rating,0.15
text-davinci-002,Irony,Rating,0.2
Llama-2 (7B),Maxims,Rating,0.2105263157894736
Flan-T5 (XL),Humor,Rating,0.24
Llama-2 (7B),Humor,Rating,0.24
Flan-T5 (XL),Metaphor,Rating,0.25
text-davinci-002,Maxims,Rating,0.3157894736842105
Llama-2 (7B),Irony,Rating,0.36
InstructGPT-3.5,Coherence,Rating,0.375
InstructGPT-3.5,Humor,Rating,0.4
InstructGPT-3.5,Maxims,Rating,0.4210526315789473
InstructGPT-3.5,Irony,Rating,0.44
text-davinci-002,Deceits,Rating,0.45
Flan-T5 (XL),Coherence,Rating,0.475
Flan-T5 (XL),Irony,Rating,0.48
Llama-2 (7B),Coherence,Rating,0.5
text-davinci-002,Coherence,Rating,0.5
text-davinci-002,Humor,Rating,0.56
InstructGPT-3.5,Deceits,Rating,0.6
text-davinci-002,Metaphor,Rating,0.6
InstructGPT-3.5,IndirectSpeech,Rating,0.7
InstructGPT-3.5,Metaphor,Rating,0.7
text-davinci-002,IndirectSpeech,Rating,0.85
Llama-2 (7B),Humor,Label score,0.168
Llama-2 (7B),Maxims,Label score,0.1684210526315789
Llama-2 (7B),Deceits,Label score,0.22
Llama-2 (7B),Irony,Label score,0.224
Llama-2 (7B),Metaphor,Label score,0.23
Llama-2 (7B),IndirectSpeech,Label score,0.28
Flan-T5 (XL),Humor,Label score,0.296
InstructGPT-3.5,Humor,Label score,0.392
text-davinci-002,Humor,Label score,0.408
InstructGPT-3.5,Maxims,Label score,0.4210526315789473
Llama-2 (7B),Coherence,Label score,0.435
Flan-T5 (XL),Maxims,Label score,0.4526315789473684
Flan-T5 (XL),Irony,Label score,0.544
InstructGPT-3.5,Coherence,Label score,0.58
InstructGPT-3.5,Irony,Label score,0.592
InstructGPT-3.5,Deceits,Label score,0.61
text-davinci-002,Coherence,Label score,0.63
InstructGPT-3.5,IndirectSpeech,Label score,0.65
text-davinci-002,Maxims,Label score,0.6947368421052632
text-davinci-002,Irony,Label score,0.696
Flan-T5 (XL),Metaphor,Label score,0.71
Flan-T5 (XL),Deceits,Label score,0.73
InstructGPT-3.5,Metaphor,Label score,0.74
Flan-T5 (XL),Coherence,Label score,0.75
text-davinci-002,Metaphor,Label score,0.75
Flan-T5 (XL),IndirectSpeech,Label score,0.83
text-davinci-002,IndirectSpeech,Label score,0.86
text-davinci-002,Deceits,Label score,0.91
Flan-T5 (XL),Maxims,Human,0.7958556149732621
InstructGPT-3.5,Maxims,Human,0.7958556149732621
Llama-2 (7B),Maxims,Human,0.7958556149732621
text-davinci-002,Maxims,Human,0.7958556149732621
Flan-T5 (XL),Deceits,Human,0.8419786096256684
InstructGPT-3.5,Deceits,Human,0.8419786096256684
Llama-2 (7B),Deceits,Human,0.8419786096256684
text-davinci-002,Deceits,Human,0.8419786096256684
Flan-T5 (XL),Humor,Human,0.8468449197860962
InstructGPT-3.5,Humor,Human,0.8468449197860962
Llama-2 (7B),Humor,Human,0.8468449197860962
text-davinci-002,Humor,Human,0.8468449197860962
Flan-T5 (XL),Coherence,Human,0.8566844919786096
InstructGPT-3.5,Coherence,Human,0.8566844919786096
Llama-2 (7B),Coherence,Human,0.8566844919786096
text-davinci-002,Coherence,Human,0.8566844919786096
Flan-T5 (XL),IndirectSpeech,Human,0.8859625668449198
InstructGPT-3.5,IndirectSpeech,Human,0.8859625668449198
Llama-2 (7B),IndirectSpeech,Human,0.8859625668449198
text-davinci-002,IndirectSpeech,Human,0.8859625668449198
Flan-T5 (XL),Metaphor,Human,0.8967914438502674
InstructGPT-3.5,Metaphor,Human,0.8967914438502674
Llama-2 (7B),Metaphor,Human,0.8967914438502674
text-davinci-002,Metaphor,Human,0.8967914438502674
Flan-T5 (XL),Irony,Human,0.9194652406417112
InstructGPT-3.5,Irony,Human,0.9194652406417112
Llama-2 (7B),Irony,Human,0.9194652406417112
text-davinci-002,Irony,Human,0.9194652406417112
Llama-2 (7B),IndirectSpeech,Free production,0.0
Llama-2 (7B),Humor,Free production,0.0
Flan-T5 (XL),Humor,Free production,0.04
Llama-2 (7B),Maxims,Free production,0.0526315789473684
Flan-T5 (XL),Irony,Free production,0.08
Llama-2 (7B),Deceits,Free production,0.0833333333333333
Llama-2 (7B),Irony,Free production,0.12
Llama-2 (7B),Metaphor,Free production,0.1666666666666666
Flan-T5 (XL),Maxims,Free production,0.2105263157894736
Llama-2 (7B),Coherence,Free production,0.2875
text-davinci-002,Humor,Free production,0.32
Flan-T5 (XL),Deceits,Free production,0.4
InstructGPT-3.5,Humor,Free production,0.424
InstructGPT-3.5,Maxims,Free production,0.4947368421052631
text-davinci-002,Irony,Free production,0.528
Flan-T5 (XL),IndirectSpeech,Free production,0.55
text-davinci-002,IndirectSpeech,Free production,0.55
text-davinci-002,Maxims,Free production,0.5684210526315789
Flan-T5 (XL),Metaphor,Free production,0.59
text-davinci-002,Coherence,Free production,0.605
text-davinci-002,Deceits,Free production,0.66
InstructGPT-3.5,Irony,Free production,0.744
InstructGPT-3.5,Coherence,Free production,0.78
Flan-T5 (XL),Coherence,Free production,0.8
InstructGPT-3.5,Deceits,Free production,0.8
InstructGPT-3.5,IndirectSpeech,Free production,0.83
InstructGPT-3.5,Metaphor,Free production,0.89
text-davinci-002,Metaphor,Free production,1.0
