model_name,metric_formula,phenomenon,metric,dependent_variable
google/flan-t5-xl,mean_sentence_surprisal,coherence,string_score,0.55
google/flan-t5-xl,mean_sentence_surprisal,deceits,string_score,0.2
google/flan-t5-xl,mean_sentence_surprisal,humour,string_score,0.12
google/flan-t5-xl,mean_sentence_surprisal,indirect_speech,string_score,0.45
google/flan-t5-xl,mean_sentence_surprisal,irony,string_score,0.32
google/flan-t5-xl,mean_sentence_surprisal,maxims,string_score,0.42105263157894735
google/flan-t5-xl,mean_sentence_surprisal,metaphor,string_score,0.4
gpt-3.5-turbo-instruct,mean_sentence_surprisal,coherence,string_score,0.75
gpt-3.5-turbo-instruct,mean_sentence_surprisal,deceits,string_score,0.8
gpt-3.5-turbo-instruct,mean_sentence_surprisal,humour,string_score,0.68
gpt-3.5-turbo-instruct,mean_sentence_surprisal,indirect_speech,string_score,0.7
gpt-3.5-turbo-instruct,mean_sentence_surprisal,irony,string_score,0.72
gpt-3.5-turbo-instruct,mean_sentence_surprisal,maxims,string_score,0.42105263157894735
gpt-3.5-turbo-instruct,mean_sentence_surprisal,metaphor,string_score,0.4
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,coherence,string_score,0.5
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,deceits,string_score,0.2
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,humour,string_score,0.08
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,indirect_speech,string_score,0.25
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,irony,string_score,0.24
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,maxims,string_score,0.21052631578947367
meta-llama/Llama-2-7b-hf,mean_sentence_surprisal,metaphor,string_score,0.15
text-davinci-002,mean_sentence_surprisal,coherence,string_score,0.725
text-davinci-002,mean_sentence_surprisal,deceits,string_score,0.65
text-davinci-002,mean_sentence_surprisal,humour,string_score,0.76
text-davinci-002,mean_sentence_surprisal,indirect_speech,string_score,0.65
text-davinci-002,mean_sentence_surprisal,irony,string_score,0.44
text-davinci-002,mean_sentence_surprisal,maxims,string_score,0.5263157894736842
text-davinci-002,mean_sentence_surprisal,metaphor,string_score,0.2
